Frame,Raw_Intensity,Processed_Intensity
1070,1.35,0.0003
1071,1.2,0.0006
1072,1.2,0.0006
1073,1.6,0.0008
1074,1.36,0.0008
1075,1.6,0.0009
1076,1.2,0.0013
1077,1.3,0.0011
1078,2.11,0.0006
1079,1.03,0.0013
1080,1.03,0.0014
1081,2.0,0.0013
1082,1.5,0.0014
1083,1.96,0.0016
1084,1.2,0.0011
1085,1.2,0.0015
1086,1.42,0.001
1087,2.0,0.0011
1088,1.37,0.0011
1089,1.25,0.0015
1090,1.26,0.0008
1091,1.95,0.0009
1092,1.1,0.0014
1093,1.5,0.0015
1094,1.9,0.0009
1095,1.3,0.0009
1096,1.28,0.0009
1097,1.04,0.0003
1098,1.5,0.0002
1099,1.16,0.0002
1100,1.16,0.0004
1101,1.3,0.0003
1102,1.32,0.0005
1103,1.4,0.0006
1104,1.4,0.0005
1105,1.3,0.001
1106,1.17,0.001
1107,1.9,0.0007
1108,1.45,0.0009
1109,1.02,0.0008
1110,1.46,0.0004
1111,1.08,0.0009
1112,1.42,0.0017
1113,2.0,0.0018
1114,2.1,0.0021
1115,1.55,0.0025
1116,1.4,0.0022
1117,1.98,0.0019
1118,1.65,0.0017
1119,1.7,0.0024
1120,1.3,0.0021
1121,2.2,0.0022
1122,1.6,0.0029
1123,1.78,0.0031
1124,2.66,0.0025
1125,1.5,0.0022
1126,1.45,0.0023
1127,1.3,0.001
1128,1.8,0.0008
1129,1.12,0.0014
1130,1.27,0.0015
1131,2.2,0.002
1132,1.45,0.0021
1133,2.36,0.0025
1134,1.22,0.002
1135,1.82,0.0022
1136,1.5,0.0015
1137,1.78,0.0023
1138,1.5,0.0022
1139,2.18,0.0028
1140,1.71,0.0035
1141,2.15,0.0032
1142,2.68,0.0028
1143,1.15,0.0036
1144,1.7,0.0033
1145,2.62,0.0025
1146,1.77,0.0024
1147,1.7,0.0022
1148,1.1,0.0019
1149,1.48,0.0018
1150,2.18,0.0021
1151,1.71,0.0023
1152,2.04,0.0028
1153,1.29,0.0025
1154,2.18,0.003
1155,1.8,0.003
1156,2.26,0.0032
1157,2.08,0.0026
1158,1.5,0.0024
1159,1.46,0.0018
1160,1.56,0.0012
1161,1.56,0.0013
1162,1.38,0.0017
1163,1.53,0.0018
1164,2.0,0.0022
1165,1.71,0.0026
1166,2.0,0.0034
1167,1.85,0.004
1168,2.51,0.0043
1169,2.81,0.005
1170,2.0,0.0051
1171,2.9,0.0042
1172,1.92,0.0037
1173,1.48,0.0043
1174,2.2,0.0039
1175,2.71,0.0034
1176,2.46,0.0043
1177,1.26,0.0048
1178,2.61,0.0041
1179,2.75,0.0031
1180,1.9,0.0033
1181,1.19,0.0028
1182,1.5,0.0019
1183,2.0,0.0024
1184,1.64,0.0038
1185,2.5,0.0043
1186,2.95,0.0036
1187,2.1,0.0041
1188,1.21,0.0046
1189,2.16,0.0035
1190,3.2,0.0033
1191,1.5,0.0032
1192,1.9,0.0027
1193,1.1,0.0018
1194,1.55,0.002
1195,2.12,0.0016
1196,1.75,0.0021
1197,1.35,0.0022
1198,1.8,0.0016
1199,1.63,0.0011
1200,1.33,0.001
1201,1.22,0.0005
1202,1.22,0.0008
1203,1.18,0.0013
1204,2.03,0.0028
1205,1.89,0.0029
1206,3.01,0.0028
1207,1.39,0.0026
1208,1.02,0.002
1209,1.77,0.0006
1210,1.2,0.0012
1211,1.3,0.0024
1212,2.09,0.0024
1213,2.5,0.0026
1214,1.75,0.0041
1215,1.5,0.0045
1216,3.07,0.0036
1217,2.59,0.0039
1218,1.4,0.0036
1219,2.11,0.0022
1220,1.18,0.0017
1221,1.4,0.0024
1222,1.94,0.002
1223,2.21,0.0035
1224,1.71,0.0047
1225,3.0,0.0047
1226,2.8,0.0047
1227,2.0,0.0042
1228,2.16,0.0032
1229,1.1,0.0034
1230,1.85,0.0031
1231,3.0,0.0031
1232,1.6,0.0036
1233,2.23,0.0036
1234,1.7,0.0024
1235,1.8,0.0024
1236,1.52,0.0023
1237,1.65,0.0018
1238,2.05,0.002
1239,1.1,0.0019
1240,2.04,0.0024
1241,1.36,0.0019
1242,2.3,0.0026
1243,1.48,0.003
1244,2.0,0.0035
1245,2.41,0.0034
1246,2.0,0.0038
1247,2.24,0.0036
1248,1.9,0.0026
1249,1.8,0.0024
